GEO.id,GEO.id2,GEO.display-label,HC03_EST_VC01,HC03_EST_VC36
Id,Id2,Geography,Percent  below poverty level; Estimate; Population for whom poverty status is determined,Percent  below poverty level; Estimate; Population for whom poverty status is determined - WORK EXPERIENCE - Population 16 years and over
0400000US01,01,Alabama,17.5,15.4
0400000US02,02,Alaska,9.0,7.8
0400000US04,04,Arizona,16.5,14.4
0400000US05,05,Arkansas,18.8,16.3
0400000US06,06,California,14.2,12.4
0400000US08,08,Colorado,12.9,11.5
0400000US09,09,Connecticut,9.4,8.6
0400000US10,10,Delaware,10.8,9.2
0400000US11,11,District of Columbia,18.4,16.0
0400000US12,12,Florida,14.9,13.3
0400000US13,13,Georgia,16.5,14.6
0400000US15,15,Hawaii,10.4,9.5
0400000US16,16,Idaho,14.3,12.9
0400000US17,17,Illinois,13.3,11.7
0400000US18,18,Indiana,14.4,12.6
0400000US19,19,Iowa,11.8,10.6
0400000US20,20,Kansas,13.4,11.9
0400000US21,21,Kentucky,18.6,16.6
0400000US22,22,Louisiana,17.3,15.1
0400000US23,23,Maine,12.3,11.2
0400000US24,24,Maryland,9.1,8.4
0400000US25,25,Massachusetts,10.3,9.6
0400000US26,26,Michigan,16.2,14.4
0400000US27,27,Minnesota,11.0,10.1
0400000US28,28,Mississippi,21.9,19.0
0400000US29,29,Missouri,14.6,12.8
0400000US30,30,Montana,15.1,13.4
0400000US31,31,Nebraska,12.3,11.5
0400000US32,32,Nevada,12.4,10.7
0400000US33,33,New Hampshire,8.5,7.9
0400000US34,34,New Jersey,9.4,8.2
0400000US35,35,New Mexico,18.0,15.6
0400000US36,36,New York,14.2,12.6
0400000US37,37,North Carolina,16.3,14.3
0400000US38,38,North Dakota,11.7,11.2
0400000US39,39,Ohio,15.2,13.3
0400000US40,40,Oklahoma,16.2,14.3
0400000US41,41,Oregon,14.3,12.9
0400000US42,42,Pennsylvania,12.5,11.2
0400000US44,44,Rhode Island,11.5,10.2
0400000US45,45,South Carolina,17.1,14.9
0400000US46,46,South Dakota,14.2,12.9
0400000US47,47,Tennessee,17.1,15.2
0400000US48,48,Texas,17.2,14.5
0400000US49,49,Utah,11.5,11.3
0400000US50,50,Vermont,11.4,10.8
0400000US51,51,Virginia,10.5,9.6
0400000US53,53,Washington,12.3,11.2
0400000US54,54,West Virginia,17.7,16.2
0400000US55,55,Wisconsin,12.4,11.2
0400000US56,56,Wyoming,9.8,9.1
