GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD05
Id,Id2,Geography,Total:,Urban:,Rural
0400000US01,01,Alabama,4447100,2465673,1981427
0400000US02,02,Alaska,626932,411257,215675
0400000US04,04,Arizona,5130632,4523535,607097
0400000US05,05,Arkansas,2673400,1404179,1269221
0400000US06,06,California,33871648,31989663,1881985
0400000US08,08,Colorado,4301261,3633185,668076
0400000US09,09,Connecticut,3405565,2988059,417506
0400000US10,10,Delaware,783600,627758,155842
0400000US11,11,District of Columbia,572059,572059,0
0400000US12,12,Florida,15982378,14270020,1712358
0400000US13,13,Georgia,8186453,5864163,2322290
0400000US15,15,Hawaii,1211537,1108225,103312
0400000US16,16,Idaho,1293953,859497,434456
0400000US17,17,Illinois,12419293,10909520,1509773
0400000US18,18,Indiana,6080485,4304011,1776474
0400000US19,19,Iowa,2926324,1787432,1138892
0400000US20,20,Kansas,2688418,1920669,767749
0400000US21,21,Kentucky,4041769,2253800,1787969
0400000US22,22,Louisiana,4468976,3245665,1223311
0400000US23,23,Maine,1274923,512878,762045
0400000US24,24,Maryland,5296486,4558668,737818
0400000US25,25,Massachusetts,6349097,5801367,547730
0400000US26,26,Michigan,9938444,7419457,2518987
0400000US27,27,Minnesota,4919479,3490059,1429420
0400000US28,28,Mississippi,2844658,1387351,1457307
0400000US29,29,Missouri,5595211,3883442,1711769
0400000US30,30,Montana,902195,487878,414317
0400000US31,31,Nebraska,1711263,1193725,517538
0400000US32,32,Nevada,1998257,1828646,169611
0400000US33,33,New Hampshire,1235786,732335,503451
0400000US34,34,New Jersey,8414350,7939087,475263
0400000US35,35,New Mexico,1819046,1363501,455545
0400000US36,36,New York,18976457,16602582,2373875
0400000US37,37,North Carolina,8049313,4849482,3199831
0400000US38,38,North Dakota,642200,358958,283242
0400000US39,39,Ohio,11353140,8782329,2570811
0400000US40,40,Oklahoma,3450654,2254563,1196091
0400000US41,41,Oregon,3421399,2694144,727255
0400000US42,42,Pennsylvania,12281054,9464101,2816953
0400000US44,44,Rhode Island,1048319,953146,95173
0400000US45,45,South Carolina,4012012,2427124,1584888
0400000US46,46,South Dakota,754844,391427,363417
0400000US47,47,Tennessee,5689283,3620018,2069265
0400000US48,48,Texas,20851820,17204281,3647539
0400000US49,49,Utah,2233169,1970344,262825
0400000US50,50,Vermont,608827,232448,376379
0400000US51,51,Virginia,7078515,5169955,1908560
0400000US53,53,Washington,5894121,4831106,1063015
0400000US54,54,West Virginia,1808344,832780,975564
0400000US55,55,Wisconsin,5363675,3663643,1700032
0400000US56,56,Wyoming,493782,321344,172438
